Solar Orbiter data in 2022
fractional_year,O7_O6_ratio,C6_C4_ratio,C6_C5_ratio,Fe_O_ratio,O_ave_charge,velocity,density
2022.864217613077,0.1367139816284180,3.851887226104736,0.4927654564380646,0.1605301648378372,6.122786045074463,344.906,24.6225
2022.864236638984,0.1278537660837173,4.369160652160645,0.4079549312591553,0.1881311833858490,6.118720531463623,353.410,23.4903
2022.864255664859,0.1415757536888123,4.976396083831787,0.6039056777954102,0.1651559323072433,6.117911338806152,340.647,23.0793
2022.864274690766,0.1510710865259171,4.152530193328857,0.4308167099952698,0.1796895861625671,6.124368667602539,349.643,23.4784
2022.864293716673,0.1164678558707237,4.280621051788330,0.4342674911022186,0.1576299369335175,6.125015258789063,333.158,21.1921
2022.864312742580,0.1598199456930161,4.129757881164551,0.4412342905998230,0.1907373219728470,6.174866199493408,333.238,20.9540
2022.864331768487,0.1635299772024155,4.571130275726318,0.4399791955947876,0.1876985281705856,6.157308578491211,336.449,23.0954
2022.864350794362,0.08886462450027466,3.239703178405762,0.3960617780685425,0.1661390215158463,6.094174861907959,338.595,21.6458
2022.864369820269,0.1250700652599335,3.359441518783569,0.4737171232700348,0.1348261088132858,6.130599975585938,339.958,23.1271
2022.864388846144,0.1639755964279175,4.601723670959473,0.5667442679405212,0.1356171071529388,6.167591094970703,334.186,22.0396
2022.864407872051,0.1138907074928284,4.625616073608398,0.5958571434020996,0.1692871600389481,6.115332126617432,335.639,23.3727
2022.864426897958,0.1309932023286819,5.698564052581787,0.5375833511352539,0.1309960633516312,6.112284183502197,344.511,22.7643
2022.864445923833,0.1384552121162415,5.777947902679443,0.5057502985000610,0.1580922007560730,6.139915466308594,345.094,23.5030
2022.864464949740,0.1330813914537430,4.372073650360107,0.4998767375946045,0.1668028980493546,6.125262260437012,342.833,21.7878
2022.864483975615,0.1253611445426941,5.096711158752441,0.4892203509807587,0.1276877224445343,6.137185096740723,337.988,24.1042
2022.864503001522,0.1490534096956253,5.322833538055420,0.5303163528442383,0.1572715193033218,6.146830081939697,327.370,22.1640
2022.864522027397,0.1198359653353691,4.202879428863525,0.5149881243705750,0.1408807188272476,6.110044479370117,337.254,24.1816
2022.864541053304,0.1333259344100952,4.797504901885986,0.5701668262481689,0.1552710682153702,6.118201255798340,330.587,21.7305
2022.864560079211,0.1788649708032608,5.049815177917480,0.6894776225090027,0.1430253982543945,6.174608230590820,342.595,24.0965
2022.864579105086,0.1652344018220901,3.910441875457764,0.4727933704853058,0.1552737653255463,6.151273250579834,332.971,24.1094
2022.864598130993,0.1629049479961395,7.642068386077881,0.4984298646450043,0.1532080471515656,6.135125160217285,339.362,24.7605
2022.864617156868,0.1866667717695236,5.759414196014404,0.5993142127990723,0.1467291563749313,6.153212070465088,335.410,25.6887
2022.864636182775,0.1468601971864700,5.718322753906250,0.6688145995140076,0.1303942948579788,6.132778167724609,337.226,25.7978
2022.864655208682,0.1452944427728653,6.175341606140137,0.5906847119331360,0.1421417444944382,6.126694679260254,346.922,25.2368
2022.864674234557,0.1340472847223282,5.103042602539063,0.6448901891708374,0.1449088156223297,6.122895717620850,338.347,24.1613
2022.864693260464,0.1794212907552719,4.956498622894287,0.4642715454101563,0.1429464519023895,6.150832653045654,331.215,25.3810
2022.864712286339,0.1537658572196960,4.792819023132324,0.4811481535434723,0.1543288528919220,6.127729415893555,334.358,24.0833
2022.864731312246,0.1664787083864212,3.597699165344238,0.4404137432575226,0.1326047778129578,6.163810253143311,330.766,23.0028
2022.864750338121,0.1787271648645401,6.314892768859863,0.5024956464767456,0.1576566249132156,6.164649963378906,340.634,23.4493
2022.864769364028,0.1816305816173553,5.909403800964355,0.5377564430236816,0.1360004246234894,6.171534538269043,332.407,22.5476
2022.864788389935,0.1453724801540375,4.191837310791016,0.5061949491500854,0.1547254621982574,6.132468223571777,328.525,23.2468
2022.864807415810,0.1889413297176361,5.637193202972412,0.5684239864349365,0.1476803570985794,6.166001796722412,336.462,23.3002
2022.864826441717,0.1507435590028763,4.184088706970215,0.4461237788200378,0.1453860253095627,6.150043010711670,337.591,21.6083
2022.864845467593,0.1223538815975189,4.075633525848389,0.4813090562820435,0.1532419472932816,6.131521224975586,347.807,22.3659
2022.864864493499,0.1398375928401947,3.719403028488159,0.4967057406902313,0.1649330258369446,6.130308151245117,344.020,25.3321
2022.864883519375,0.1589226573705673,4.242687702178955,0.3983324766159058,0.1822949945926666,6.130095958709717,345.174,25.3295
2022.864902545281,0.1348374933004379,5.395300865173340,0.6343152523040771,0.1512247323989868,6.119246006011963,335.175,25.8856
2022.864921571188,0.1260239183902740,5.895371913909912,0.6091331243515015,0.1646802276372910,6.113660335540771,336.182,23.5279
2022.864940597064,0.1422421634197235,8.540906906127930,0.6042972207069397,0.1688798367977142,6.130352497100830,325.490,22.3308
2022.864959622970,0.1324942111968994,6.573182106018066,0.5505430102348328,0.1870853453874588,6.116107463836670,348.703,23.4936
2022.864978648846,0.1636882573366165,6.296733856201172,0.5905924439430237,0.1654394865036011,6.141429424285889,351.489,25.0092
2022.864997674753,0.1988639384508133,5.172682285308838,0.5225042104721069,0.1903819292783737,6.155500888824463,349.246,25.5121
2022.865026270231,0.1823539435863495,5.963487148284912,0.6839061975479126,0.1699583530426025,6.162522792816162,335.554,23.9097
2022.865045296233,0.1760656237602234,6.045129299163818,0.7215818762779236,0.1591179221868515,6.163917541503906,332.414,28.1972
2022.865064322140,0.1372810155153275,8.458998680114746,0.6590441465377808,0.1644768863916397,6.135544776916504,333.799,28.2103
2022.865083348047,0.1647968739271164,5.464925289154053,0.4823208153247833,0.1812967360019684,6.156853199005127,330.761,24.0462
2022.865102373922,0.1456455439329147,7.363831996917725,0.6780897378921509,0.1607990115880966,6.173774719238281,331.762,23.1643
2022.865121399829,0.1494156718254089,4.902013778686523,0.5026952028274536,0.1462759971618652,6.137683391571045,332.628,22.5926
2022.865140425704,0.1492429673671722,4.438541412353516,0.5713851451873779,0.1897195875644684,6.152806282043457,332.227,23.7460
2022.865159451611,0.1434050500392914,4.854748725891113,0.6437441706657410,0.1546715199947357,6.134315967559814,346.488,26.5462
2022.865178477486,0.1821495741605759,4.959499359130859,0.6104252934455872,0.1750265955924988,6.144300460815430,342.547,29.0998
2022.865197503393,0.2163058370351791,5.851325511932373,0.5806770920753479,0.1451069861650467,6.167107105255127,343.612,30.5858
2022.865216529268,0.1757375746965408,5.143339157104492,0.5426607131958008,0.1622696816921234,6.168784618377686,352.300,31.5604
2022.865235555175,0.1431541591882706,7.872987270355225,0.8360977768898010,0.1690163165330887,6.148937702178955,338.673,30.3984
2022.865254581050,0.1757947802543640,4.701867103576660,0.7728769779205322,0.1754222065210342,6.143146038055420,323.858,24.9443
